title,artist_name,release,year,tag,caption_writing
Going Up The Country,Canned Heat,Canned Heat Blues Band [Original Recording Remastered],1968,"['60s' 'earnest' 'laid back mellow' 'blues rock' 'electric blues'
 'boogie rock' 'rowdy' 'classic rock' 'reverent' 'amiable good natured'
 'passionate' 'rollicking' 'modern electric blues' 'earthy' 'pop rock'
 'blues' 'gritty' 'playful']","This eclectic blues rock song is a melting pot of classic rock and modern electric blues, blending rowdy and rollicking boogie rock with gritty and reverent earthy blues, all while maintaining a playful and amiable good-natured vibe that's both laid back and passionate, and earnestly nostalgic of the 60s."
Shake Your Pants,Cameo,Anthology,1980,"['exuberant' 'sexual' 'confident' 'partying' 'celebratory' 'boisterous'
 'mischievous' 'rnb' 'hypnotic' 'happy' 'brash' 'quiet storm'
 'rambunctious' 'rollicking' 'rousing' 'urban' 'energetic' 'warm' 'tgif'
 'fun' 'funk' 'lively' 'cheerful' 'gutsy' 'playful' 'sweet' 'joyous']","Get ready to dance and let loose as this rollicking, funky, and energetic urban R&B anthem exudes a confident, gutsy, and celebratory vibe that will leave you feeling hypnotized by its lively rhythm, warm and joyous melodies, and playful yet mischievous lyrics that echo the TGIF spirit and make you want to party all night long in a rambunctious and exuberant way."
Shut Up Or Lose Me,Gun Barrel,Power-Dive,0,['hard rock'],"This song is an explosive and high-energy tribute to the power of hard rock, complete with shredding guitar riffs and thunderous drum beats."
Bless The Road,Mary Black,Best of 1991-2001 Hidden Harvest,1999,['female vocalist' 'celtic' 'irish' 'folk pop' 'folk rock' 'folk'],"This enchanting song intertwines celtic, folk rock, and folk pop, showcasing the soulful vocals of a female artist while unfolding a tale from the rich Irish folk tradition."
This Time,Dizzy,Bang Bang Bang,0,['rock' 'finnish' 'pop rock'],This energetic pop rock anthem from a Finnish band showcases the perfect blend of catchy melodies and hard-hitting rock instrumentals.
Sole Survivor,Blue Oyster Cult,Fire Of Unknown Origin,1981,"['psychedelic rock' '70s' 'intense' 'rock' 'album rock' 'heavy metal'
 'classic rock' 'passionate' 'rousing' 'stylish' 'energetic'
 'progressive rock' 'metal' 'pop rock' 'hard rock' 'arena rock' '80s']","This track is an energetic and rousing combination of classic rock, pop rock, and hard rock, with a touch of intense and passionate progressive rock and heavy metal, perfect for fans of arena rock and album rock from the 70s and 80s, all delivered with stylish and psychedelic rock flair."
Faith,Starecase,Faith,2002,['house' '00s'],Step back into the 00s with this nostalgic banger that will transport you to your childhood house party memories.
Kitchen Belt,Fudge Tunnel,Hate Songs in E Minor,1991,"['gloomy' 'hostile' 'malevolent' 'sludge metal' 'aggressive' 'intense'
 'guys night out' 'rock' 'menacing' 'heavy metal' 'unsettling'
 'nihilistic' 'tense anxious' 'exercise workout' 'suffocating' 'fiery'
 'ominous' 'pop rock' 'paranoid' 'gritty' 'spooky' 'harsh' 'angry' 'bleak']","Get your adrenaline pumping with this aggressive pop rock anthem that delivers an intense and menacing sound, complete with harsh vocals, suffocating instrumentals, and ominous undertones reminiscent of heavy metal and sludge metal. Perfect for any exercise workout or guys night out, this gritty and nihilistic track brings a tense and anxious energy that's both rock and malevolent, while also giving off a spooky and fiery vibe that'll leave you feeling angry and bleak. With lyrics that tap into that unnerving, paranoid feeling we all get from time to time, this unsettling and hostile song is the ultimate addition to any playlist that's looking to turn up the volume and get things rolling."
Cooper,Deerhoof,Reveille,2002,"['cathartic' 'exuberant' 'indie rock' 'avant garde' 'messy' 'noise rock'
 'mischievous' 'the creative side' 'alternative' 'rambunctious' 'carefree'
 'whimsical' 'naive' 'post rock' 'experimental' 'energetic' 'bittersweet'
 'innocent' 'noise pop' 'alternative indie rock' 'irreverent' 'fun'
 'pop rock' 'experimental rock' 'lively' 'cheerful' 'playful' 'springlike'
 'precious' 'volatile' 'sweet' 'indie' 'freewheeling']","This fun and lively song embraces the creative side of alternative indie rock, blending elements of noise pop, pop rock, and experimental rock to create a freewheeling and avant-garde sound that's both exuberant and whimsical, yet also volatile and mischievous - characterized by a bittersweet and cathartic energy that's equal parts precious and carefree, innocent yet irreverent, playful yet rambunctious, all while capturing the playful and springlike essence of indie rock in a fresh and exciting way."
Rollin' And Tumblin',Muddy Waters,Screamin' And Cryin',1969,['blues'],Experience the raw emotion and soulful melodies of traditional blues in this heart-wrenching track.
Cold In California,Allison Moorer,Miss Fortune,2002,"['alt country' 'alternative country rock' 'california'
 'contemporary country' 'dreamy' 'alternative indie rock' 'nostalgic'
 'country' 'female vocalists' 'acoustic' 'pop rock'
 'neo traditionalist country' 'americana']","This dreamy song blends alternative indie rock and pop rock with elements of California Americana and contemporary country, featuring the enchanting vocals of a female singer and incorporating hints of alternative country rock, alt country, and neo traditionalist country all woven together with an acoustic sound that is sure to transport listeners to a nostalgic, contemplative state."
Sure As Shit,Kathleen Edwards,Asking For Flowers,2008,"['cathartic' 'earnest' 'alternative singer songwriter' 'laid back mellow'
 'reflective' 'brooding' 'intense' 'alt country' 'self conscious'
 'canadian' 'rock' 'literate' 'alternative country rock' 'breakup'
 'late night' 'amiable good natured' 'passionate' 'sentimental' 'wistful'
 'uncompromising' 'difficult' 'earthy' 'introspection' 'angst ridden'
 'bittersweet' 'alternative indie rock' 'female vocalists' 'acoustic'
 'reflection' 'yearning' 'pop rock' 'poignant' 'plaintive' 'intimate'
 'folk']","Canadian singer-songwriter creates a cathartic and poignant breakup anthem with this alternative indie rock track; blending elements of pop rock, alt country, and folk, the female vocalist delivers an intense and angst-ridden performance, exploring her self-conscious introspection with uncompromising lyrics and earthy instrumentation, capturing the laid back mellow and amiable good natured emotion of the late-night reflection to reveal a difficult but ultimately cathartic bittersweet embrace of this difficult experience."
Sleepy California,Her Space Holiday,The Young Machines,2003,"['exuberant' 'somber' 'delicate' 'indie electronic' 'heartache' 'bright'
 'melancholy' 'light' 'brittle' 'fractured' 'wistful' 'electronic'
 'tense anxious' 'stylish' 'introspection' 'alternative indie rock'
 'indie pop' 'pop rock' 'refined' 'precious' 'detached' 'indie' 'slick']","Experience a refined and delicate blend of alternative indie rock and indie electronic with a pop rock twist, as this exuberant and bright track delivers introspection through light and wistful melodies, while still carrying a somber heartache tone, all wrapped up in a stylish and slick production, with fractured and brittle electronic elements adding a tense anxious atmosphere and precious, yet detached and melancholy vocals that create a hauntingly beautiful indie pop experience."
I Can See Clearly Now,Holly Cole,Don't Smoke in Bed,1993,"['reserved' 'elegant' 'laid back mellow' 'romantic evening' 'standards'
 'jazz' 'melancholy' 'sophisticated' 'dinner ambiance' 'stylish' 'sensual'
 'rainy day' 'female vocalists' 'reflection' 'intimate' 'vocal'
 'traditional pop' 'vocal jazz']","This sophisticated and elegant vocal jazz song featuring reserved and laid back mellow instrumentation creates the perfect ambiance for a romantic evening or rainy day reflection, complimented by the sensual and melancholy female vocalist singing traditional pop and jazz standards."
Kiss In The Dark,The Undertones,Positive Touch,1981,"['exuberant' 'punk' 'confident' 'smooth' 'punk rock' 'rock'
 'punk new wave' 'irish' 'amiable good natured' 'rousing' 'tense anxious'
 'quirky' 'innocent' 'fun' 'new wave' 'pop rock' 'spring' 'cheerful'
 'playful' '80s' 'british punk' 'joyous']","This exuberant punk rock/pop rock song is both amiable and confident, featuring innocent and quirky lyrics that perfectly embody the fun, rousing energy of British punk and 80s-style new wave. With smooth, joyous vocals and a playful, springtime feel, this track manages to be both cheerful and tense, making for a uniquely punk rock experience that is sure to get your blood pumping. And with its Irish punk rock influences, it's the perfect choice for anyone looking for a new wave of amazing music to enjoy."
Who Feels It Knows It,Rita Marley,Rita Marley Sings Bob Marley and Friends,0,['roots reggae' 'female vocalists' 'reggae'],"Get ready for an upbeat and soulful listening experience as female vocalists bring a fresh interpretation to classic roots reggae rhythms, sure to set the mood for any relaxed and groovy occasion."
Dead Man Walkin',Bruce Springsteen,Music From And Inspired By The Motion Picture Dead Man Walking,1996,['rock'],Experience the thunderous power of hard-hitting rock with this adrenaline-fueled anthem.
White Reggae Troll,Devendra Banhart,Causes 2,0,['reggae'],This song is an upbeat reggae tune complete with island rhythms and soulful vocals.
Premonición,David Bisbal,Premonición,2006,"['earnest' 'confident' 'sex' 'latin pop' 'romantic' 'theatrical' 'stately'
 'rock' 'latin rock' 'pop' 'spanish' 'sexy' 'passionate' 'wistful'
 'bravado' 'in love' 'seduction' 'stylish' 'sensual' 'energetic'
 'reggaeton' 'latin']","Get ready to indulge in a high-octane, hard-hitting Latin pop anthem that oozes sexy bravado! With an energetic rock beat and a theatrical reggaeton flair, this passionate and stylish song tells the story of an earnest lover who confidently and passionately woos his in-love muse through a seductive and sensual journey of Latin rock and Spanish flair, all the while expressing his stately and wistful romantic intentions in a sultry and irresistibly sexy way."
Arms Of Mary,The Sutherland Brothers;Quiver,The Best Year Of My Life: 1976,1995,['70s' 'oldies' 'pop'],Transport yourself back to the groovy sounds of the 70s with this catchy pop tune that's sure to bring back memories of oldies but goodies.
Lord_ Don't Move The Mountain,Angela Strehli,Blue Highway,0,['christian' 'modern electric blues' 'blues'],"Experience the soulful resonance of modern electric blues infused with Christian lyrics, as this song takes you on a powerful journey through the traditional roots of blues music."
Venom Soup,Ted Nugent,Original Album Classics,1978,['rock' 'hard rock'],This hard rock song touts electrifying guitar riffs and gritty vocals that'll get any rock lover's blood pumping.
Mary Ann,Regina Spektor,Mary Ann meets the Gravediggers and other short stories by regina spektor,2001,['anti folk' 'sentimental' 'pop rock' 'strong' 'folk' 'indie'],"This song is a sentimental mix of pop rock, indie, and folk with a strong and anti folk message."
If Today Was The Day,The Louvin Brothers,Keep Your Eyes On Jesus,1992,"['reflective' 'bluegrass' 'religious' 'gospel' 'reverent' 'spiritual'
 'sentimental' 'wistful' 'earthy' 'bittersweet' 'nostalgic' 'country'
 'close harmony' 'rustic' 'yearning' 'poignant' 'plaintive'
 'traditional country' 'traditional bluegrass']","This spiritual bluegrass song captures the poignant and yearning sentimentality of traditional country music, with its close harmonies and earthy, rustic sound, as it reflects on past memories with a wistful and nostalgic feel, evoking a bittersweet and reflective mood that is both reverent and plaintive, with gospel themes woven throughout."
The Only Way Is Up,Yazz,The Only Way Is Up,1988,['electronic' 'pop rock' '80s'],This upbeat pop rock song takes inspiration from 80s electronic music with its infectious synth hooks and driving rhythm section.
So What (If You Got A Baby) (album version),Gerald Levert,Do I Speak For The World,0,['rnb' 'soul'],This smooth and sultry track combines elements of soul and R&B to deliver a deeply emotive and captivating musical experience.
When You Smile,The Dream Syndicate,The Days Of Wine And Roses,1982,"['cathartic' 'urgent' 'brooding' 'sparkling' 'intense' 'acerbic' 'bright'
 'literate' 'melancholy' 'eerie' 'hypnotic' 'reckless' 'alternative'
 'college rock' 'wistful' 'rousing' 'tense anxious' 'cerebral' 'fiery'
 'sprawling' 'angst ridden' 'cynical sarcastic' 'alternative rock'
 'american underground' 'alternative indie rock' 'ominous' 'searching'
 'ironic' 'pop rock' 'nocturnal' 'jangle pop' 'visceral' 'indie' '80s'
 'freewheeling']","This alternative indie rock song is both ironic and searching, with bright pop rock melodies that give way to intense, urgent and cynical-sarcastic lyrics that sprawl across the American underground. With a hypnotic and visceral sound that is equal parts cathartic and melancholy, the freewheeling energy of this song is balanced by the acerbic lyrics and ominous, brooding atmosphere. Jangle pop and sparkling hooks are punctuated by wistful reflections and rousing, angst-ridden choruses that transport listeners back to the 80s era of college rock and literate, cerebral alternative rock. Nocturnal and filled with tense, anxious energy, this song has an eerie quality that is matched only by its fiery, mesmerizing vibe."
Kisses,Raz Ohara & The Odd Orchestra,Raz Ohara & The Odd Orchestra,2007,['beautiful'],"Featuring delicate acoustic melodies, poignant lyrics, and hauntingly beautiful vocals, this song is a true masterpiece."
Tinseltown To The Boogiedown,Scritti Politti,Anomie & Bonhomie,1999,['rock' 'pop' 'hip hop' 'post punk' '90s' 'new wave' '80s'],"Get ready to be transported back in time with this dynamic hip hop track that seamlessly blends 90s beats with elements of pop, 80s rock and new wave, and a touch of post punk attitude."
Pack Up & Go,The Hentchmen,Three Times Infinity,2002,['rock' 'alternative' 'alternative rock'],This song is an electrifying fusion of alternative and alternative rock that will make you want to headbang and mosh like a true rockstar.
Summertime,Dog Eat Dog,Walk With Me,2006,['american' 'hip hop' 'heavy metal' 'pop rock'],"Experience a unique fusion of pop rock, hip hop, American, and heavy metal in this mind-blowing song that will leave you wanting more."
Stoned Out Of My Mind,The Jam,The Jam Story,1982,['punk' 'rock' 'soul'],"This song is a gritty blend of soul, punk, and rock that blends powerful vocals with raucous guitar riffs and an infectious beat."
Daydream,Markus Schulz,Coldharbour Recordings_ The Best of 2008,0,['brilliant' 'trance' 'progressive trance' 'morning'],Experience the brilliance of morning energy with the hypnotic beats of progressive trance and be transported to a state of pure trance bliss.
Voices In A Dream,Echoes Of Eternity,Female Fronted Metal,2005,['metal' 'progressive metal'],"This progressive metal song showcases powerful guitar riffs and complex time signatures, crafted for fans who crave the intensity of metal music."
Shiver,Kitchens Of Distinction,Love Is Hell,1989,"['cathartic' 'exuberant' 'earnest' 'reflective' 'brooding' 'intense'
 'alternative pop rock' 'shoegaze' 'hypnotic' 'passionate' 'sophisticated'
 'stylish' 'sensual' 'bittersweet' 'alternative indie rock' 'yearning'
 'pop rock' 'poignant' 'atmospheric' 'intimate' 'dream pop' 'visceral'
 'detached' '80s']","This alternative indie rock song is a hypnotic and atmospheric journey that effortlessly blends elements of shoegaze, pop rock, and 80s alternative pop rock to deliver an exuberant and passionate experience that is both visceral and cathartic, while maintaining a sophisticated and stylish detachment that is reflective and poignant at once, resulting in a dream pop masterpiece that is as intimate, yearning, and bittersweet as it is brooding and earnest."
Cry Me Out,Pixie Lott,Cry Me Out,2009,['pop' 'pop rock'],"This pop rock anthem is a catchy and energetic showcase of dynamic vocal delivery and infectious hooks that are sure to get you on your feet, providing the perfect blend of contemporary pop flourish and classic rock flair."
Uhh Ahh,Boyz II Men,Legacy,1991,['90s' 'soul'],"This soulful tune takes listeners on a nostalgic journey back to the 90s, with smooth vocals and heartfelt lyrics that capture the essence of the era."
Blackbird (Remix),The Beautiful Girls,We're Already Gone,2006,"['hanging out' 'earnest' 'laid back mellow' 'reflective' 'smooth'
 'jam bands' 'american trad rock' 'bright' 'roots' 'alternative'
 'amiable good natured' 'carefree' 'hot' 'sentimental' 'wistful' 'earthy'
 'gentle' 'bittersweet' 'warm' 'calm peaceful' 'yearning' 'pop rock'
 'summery' 'plaintive' 'summer' 'intimate' 'folk' 'cheerful' 'chill'
 'australian' 'contemporary singer songwriter' 'roots rock' 'joyous']","Escape to a carefree and warm summer day with a blend of earthy folk roots, intimate and plaintive pop rock vocals, and amiable good-natured jam band energy in this Australian contemporary singer-songwriter's bittersweet and yearning alternative ballad - perfect for hanging out and reflecting on life's joys and sorrows under the hot sun."
Okupa de tu corazon,El sueño de Morfeo,El sueño de Morfeo,2005,"['exuberant' 'hanging out' 'earnest' 'reflective' 'latin pop'
 'alternative pop rock' 'rock' 'spain' 'pop' 'spanish' 'catchy'
 'sentimental' 'wistful' 'introspection' 'bittersweet' 'warm'
 'rock en espaol' 'alternative indie rock' 'adult alternative pop rock'
 'searching' 'pop rock' 'poignant' 'intimate' 'latin' 'sweet']","This adult alternative pop rock song is an alternative indie rock masterpiece, rich with sentimental lyrics and an exuberant energy that speaks to the heart of anyone who's ever found themselves searching for something more. With a poignant blend of pop rock sweetness and earnest introspection, this track captures the warmth and intimacy of hanging out with friends, while also reflecting on the bittersweet nature of life. The catchy beats and introspective lyrics make it a must-listen for anyone who enjoys rock en español, latin pop, or alternative pop rock with a wistful edge."
Ivich,Al Stewart,Running Man - Introducing... Al Stewart,0,['guitar' 'instrumental'],"This instrumental track features intricate guitar melodies that weave in and out, creating a mesmerizing sonic landscape."
Mensajes Del Agua,Macaco,Puerto Presente,2009,['fusion' 'spanish' 'international' 'pop rock' 'latin'],"Get ready for a fiery and dynamic sound with this international pop rock hit, infused with latin rhythms and a fusion twist while showcasing the beautiful Spanish language."
Get Up 'N' Go (Album Version),The Ditty Bops,Moon Over The Freeway,2006,['folk'],"This gentle ballad draws its inspiration from traditional folk music, featuring warm acoustic tones and a storytelling style that harkens back to simpler times."
Wave,Tod Dockstader,Aerial #3,2006,['avant garde' 'experimental electronic' 'electronic' 'ambient'],This experimental electronic composition creates an avant garde soundscape with ambient tones that are both haunting and captivating.
Woke Up This Morning,Otis Rush,All Your Love I Miss Loving - Live At The Wise Fools Pub_ Chicago,0,"['exuberant' 'hanging out' 'electric blues' 'partying' 'regional blues'
 'chicago blues' 'coolncocky' 'guys night out' 'heartache' 'boisterous'
 'modern electric chicago blues' 'brash' 'amiable good natured'
 'passionate' 'electric chicago blues' 'rollicking' 'energetic' 'fiery'
 'blues' 'gritty']","Get swept up in the rollicking and energetic sounds of modern electric Chicago blues with this exuberant track perfect for a guys night out filled with passionate partying and hanging out, all while telling tales of heartache with a gritty and fiery edge that will have you feeling amiable and good-natured, blending the best of boisterous and brash electric blues in a cool and cocky regional take on the classic Chicago blues style."
Hold The Line,Toto,Super Hits,1978,['rock' 'classic rock' '80s'],This classic rock anthem transports you back to the 80s with its energizing guitar riffs and bold rock vocals.
Beautiful Sorta,Ryan Adams,Cold Roses,0,"['hanging out' 'laid back mellow' 'reflective' 'organic' 'alt country'
 'melancholy' 'late night' 'wistful' 'introspection' 'bittersweet'
 'alternative indie rock' 'country' 'adult alternative pop rock'
 'feeling blue' 'yearning' 'searching' 'pop rock' 'poignant' 'americana'
 'indie']","An introspective and melancholic blend of adult alternative pop rock and alternative indie rock, with elements of laid back mellow Americana and alt country, this wistful and bittersweet single captures the feeling of hanging out late at night, reflecting on life's yearnings, in a raw and organic indie sound that is both poignant and searching."
Dude_ Where's My Skin?,Schoolyard Heroes,Abominations,2007,['rock'],"This high-energy track is a classic example of pure, unadulterated rock, featuring driving guitar riffs, powerful drums, and raw, passionate vocals."
Ice Man (Come On Up),Memphis Minnie,Queen Of Country Blues,1991,['blues'],This soulful track will have you tapping your feet and swaying to its smooth blues melodies.
Boogie Woogie Cowboy,Tex Ritter,Deck of Cards,0,['country'],"This upbeat single is fueled by twangy guitars and heartfelt lyrics, capturing the essence of country music at its finest."
I'm Gonna Love You,Wilson Pickett,Let's Dance,1963,['60s' 'soul'],"This song captures the essence of 60s soul with its infectious melodies, raw emotional delivery, and timeless lyrics."
Tonight At Noon,The Jam,This Is The Modern World,1977,"['cathartic' 'power pop' 'exuberant' 'earnest' 'punk' 'urgent'
 'reflective' 'confident' 'brooding' 'aggressive' 'intense' 'coolncocky'
 'rock' 'rowdy' 'punk new wave' 'literate' 'confrontational' 'snide'
 'brash' 'passionate' 'mod' 'rousing' 'raucous' 'tense anxious'
 'street smart' 'drums' 'stylish' 'energetic' 'fiery' 'angst ridden'
 'cynical sarcastic' 'swaggering' 'new wave' 'rebellious' 'pop rock'
 'angry' 'volatile' 'visceral' 'british punk']","This power pop, British punk-inspired song is an energetic and exuberant display of confident swaggering, with aggressive and confrontational lyrics borne of visceral angst and reflective cynicism. The brash, rowdy, and raucous instrumentation of drums and fiery rock guitars deliver an urgent and cathartic release, while the literate and snide lyrics reflect a street-smart, rebellious edge infused with coolncocky style. With a punk new wave edge and a brooding intensity, this song will leave you feeling both tense and roused."
Not Over You,Jason Collett,Here's to Being Here,2008,"['earnest' 'alternative singer songwriter' 'indie rock' 'laid back mellow'
 'organic' 'sparkling' 'beautiful' 'day driving' 'wry' 'male vocalists'
 'disappointment' 'rollicking' 'wistful' 'lovely' 'autumnal' 'earthy'
 'quirky' 'rainy day' 'gentle' 'bittersweet' 'alternative indie rock'
 'pop rock' 'poignant' 'intimate' 'playful' 'freewheeling']","This alternative indie rock song, performed by male vocalists, is perfect for a day driving through the rain. It's a lovely mix of poignant, pop rock and rollicking melodies, with a laid-back mellow vibe and an earnest, intimate tone. The beautiful and gentle lyrics deliver a quirky, freewheeling message, while the earthy, sparkling and wry sound brings a bittersweet and wistful feeling. If you're a fan of indie rock and alternative singer songwriters, you'll love this autumnal tune that's both playful and organic."
Notes After An Evening,Eberhard Weber,Pendulum,1993,"['jazz' 'world fusion' 'sentimental' 'restrained' 'dreamy' 'post bop'
 'calm peaceful' 'yearning' 'international' 'international fusion']","This international fusion jazz song exudes a restrained, dreamy ambiance that is both sentimental and peaceful, creating a yearning sensation that's perfect for relaxing and letting the mind and soul wander. With subtle post bop influences and a world fusion touch, this track is a truly unique musical experience."
La Puerta,Luis Miguel,Romance,1998,"['exuberant' 'latin pop' 'romantic' 'tejano' 'celebratory'
 'mexican traditions' 'sensual' 'bolero' 'international'
 'western european traditions' 'latin']","Experience the ultimate fusion of international rhythms with an exuberant and romantic blend of Tejano, sensual Latin bolero, and celebratory Mexican traditions accented by Western European traditions and Latin pop."
If You Go Away,Terry Jacks,Ultimate 70s,1974,['beautiful' '70s' 'oldies' 'pop'],This is a beautiful pop song that perfectly captures the essence of 70s oldies with its catchy melodies and nostalgic feel.
Child Of The Night 1 & 2,Julian Jay Savarin,Waiters On The Dance,2001,"['dramatic' '70s' 'theatrical' 'druggy' 'rock' 'boisterous'
 'the creative side' 'prog rock' 'rollicking' 'rousing' 'scary music'
 'ethereal' 'progressive rock' 'psychedelic' 'maverick' 'elaborate'
 'pop rock' 'psychedelic garage' 'lively' 'trippy' 'freewheeling']","This rollicking and freewheeling pop rock tune has serious prog rock tendencies, with a trippy, ethereal vibe that veers into elaborately psychedelic garage territory. The maverick artist behind this dramatic and rousing rock anthem pulls out all the stops to conjure a boisterous 70s sound that's at once lively and druggy, capturing the creative side of progressive rock while indulging in a bit of theatrical, almost scary music."
Girls On Film,Duran Duran,Singles Box '81 - '85,1981,['80s'],This song is a nostalgic trip down memory lane with its catchy beats and retro synths reminiscent of the 80s.
Be Alright,Zapp & Roger,All The Greatest Hits,0,['soul' '80s'],"This song is a nostalgic nod to the soulful sounds of the 80s, with funky bass lines and smooth vocals that transport you back in time."
25 décembre,Tricot Machine,Tricot Machine chante et raconte 25 décembre,2008,['canadian' 'quebec' 'quebecois' 'canada' 'pop rock' 'folk' 'indie'],"Experience a unique blend of pop rock, indie and folk sounds in this Canadian masterpiece, showcasing the best of Quebecois musical talent."
Litoral (Remix),Entre Ríos,Idioma Suave,2002,['electropop' 'pop' 'indie pop' 'indie'],"This catchy and upbeat indie pop anthem features a blend of pop and electropop elements, showcasing the best of both genres."
Loud And Clear,The Cranberries,The Collection,1999,"['earnest' 'reflective' 'dramatic' 'sparkling' 'alternative pop rock'
 'heartache' 'rock' 'celtic rock' 'alternative' 'passionate' 'wistful'
 'dreamy' 'in love' 'contemporary pop rock' 'introspection' 'ethereal'
 'alternative indie rock' 'reflection' 'adult alternative pop rock'
 'yearning' 'searching' 'pop rock' 'atmospheric' 'plaintive' 'sweet']","This adult alternative pop rock song is both atmospheric and reflective, blending elements of alternative indie rock with contemporary pop rock to create a sparkling, dreamy track that's equal parts wistful and yearning, sweet and passionate, as the artist searches for insight and meaning in their introspection, all while dealing with themes of both heartache and being deeply in love, with a touch of plaintive Celtic rock and dramatic ethereal soundscapes adding further depth and emotion to the earnest and heartfelt lyrics."
So Bad,Baby Dee,The Robin's Tiny Throat,2007,['pop rock' 'folk'],This upbeat pop rock track blends acoustic guitars and driving drum beats with folk-inspired melodies and hooks.
Pounded Into Dust,Cannibal Corpse,Bloodthirst,1999,"['death metal' 'cathartic' 'provocative' 'urgent' 'hostile' 'exciting'
 'malevolent' 'aggressive' 'intense' 'hedonistic' 'menacing'
 'confrontational' 'heavy metal' 'outrageous' 'unsettling' 'raucous'
 'nihilistic' 'tense anxious' 'suffocating' 'ominous' 'pop rock' 'harsh'
 'fierce' 'angry' 'volatile' 'visceral' 'bleak']","This pop rock song is an aggressive and confrontational powerhouse with death metal and heavy metal undertones, showcasing a menacing and volatile energy that is both suffocating and visceral. It embodies an urgent and cathartic release of pent-up tension, delivered with a tense, anxious urgency that's both bleak and unsettling - a malevolent and hostile force that's both exciting and provocative. With outrageous and hedonistic intensity, it's the ultimate expression of a dark and nihilistic vision, a raucous and fierce explosion of raw emotion that's as cathartic as it is ominous."
Someone Like You,New London Fire,I Sing The Body Holographic,2006,"['exuberant' 'indie rock' 'confident' 'dramatic' 'witty'
 'alternative pop rock' 'guys night out' 'girls night out' 'sexy' 'brash'
 'rousing' 'electronic' 'stylish' 'energetic' 'alternative indie rock'
 'fun' 'pop rock' 'lively' 'playful' 'campy' 'indie']","Get ready to party with this confident and energetic alternative indie rock anthem that's exuberant, pop rock infused, and packed with witty lyrics, electronic beats, and brash guitar riffs - a lively and fun track that's perfect for any night out on the town, whether you're with the girls or out with the guys, with a dramatic and rousing indie rock vibe that's both campy and playful, full of style and sex appeal."
Matriarch,Montrose,Warner Brothers Presents Montrose,2002,['rock nroll' 'rock' 'heavy metal' 'classic rock' 'beat' 'hard rock'],"This song is a timeless tribute to classic rock, embodying the raw energy and rebellious spirit of rock n roll while incorporating elements of heavy metal, a driving beat, and unapologetic hard rock riffage."
Something To Save,George Michael,Listen Without Prejudice Vol. 1,1990,['pop' '90s'],Transport yourself back to the 90s with this upbeat pop song that will have you dancing in no time.
Years,Nonpoint,Statement,1999,"['rock' 'rowdy' 'confrontational' 'heavy metal' 'nu metal'
 'alternative metal' 'nihilistic' 'angst ridden' 'cynical sarcastic'
 'alternative rock' 'ominous' 'rebellious' 'pop rock' '00s' 'hard rock'
 'harsh' 'angry' 'bleak' 'detached']","This track is a confrontational and rebellious anthem that fuses detached alternative metal with rowdy pop rock, creating a harsh and cynical soundscape that's both ominous and nu metal. With its heavy metal riffs and 00s angst ridden lyrics, this song is a nihilistic and sarcastic ode to the bleaker side of rock, featuring angry vocals that perfectly embody the emotion and energy of hard rock."
If I Don't Love You Now,Stefanie Heinzmann,Masterplan,2008,"['german' 'reflective' 'confident' 'smooth' 'dramatic' 'neo soul'
 'sparkling' 'heartache' 'literate' 'girls night out' 'rnb' 'late night'
 'amiable good natured' 'passionate' 'contemporary rnb' 'sentimental'
 'stylish' 'energetic' 'bittersweet' 'soul' 'yearning' 'pop rock'
 'summery' 'plaintive' 'refined' 'pop idol' 'slick']","This contemporary R&B track by German pop idol combines elements of soul, pop rock, and neo soul, resulting in a slick, energetic, and sentimental tune that is both amiable and confidently passionate. With a literate and reflective approach, the song explores themes of heartache and yearning over dramatic, late-night instrumentation that is both sparkling and refined. The plaintive, summery vibe is perfect for a girls' night out, but the bittersweet and stylish sensibility ensures that this song will be a favorite for late night reflective moments as well."
Make My Funk The P-Funk,George Clinton,Live And Kicking,0,['funk'],This groovy track is full of funky bass lines and infectious rhythms that will have you dancing all night long.
I Remember Clifford,Lee Morgan,Music For Lovers,1957,"['laid back mellow' 'reflective' 'confident' 'hard bop' 'romantic evening'
 'relaxed' 'dramatic' 'romantic' 'jazz' 'melancholy' 'sentimental'
 'jazz instrument' 'sophisticated' 'dinner ambiance' 'earthy' 'stylish'
 'sensual' 'warm' 'trumpet jazz' 'relaxation' 'poignant' 'plaintive'
 'intimate' 'refined' 'background music']","This sophisticated and refined jazz instrumental with its hard bop and trumpet jazz influences creates a warm and laid back mellow backdrop for a romantic evening, dinner ambiance, or relaxation, while also evoking sentimentality, poignancy, and melancholy through its earthy and sensual tones. The confident and stylish notes of the trumpet add a dramatic touch to the background music, while the intimate and reflective nature of the music creates a plaintive and poignant atmosphere. Truly the perfect soundtrack to a sophisticated and emotional evening."
Underworld,Disney Razors,750kg Maximum Breakdown,0,['rock' 'pop rock' 'blues'],This catchy pop rock track features soulful blues vocals and an upbeat rock rhythm.
